PLACE12NM,POPCNT,DESCNM,CTY12CD,CTY12CDO,CTY12NM,NMD12CD,NMD12CDO,NMD12NM,UA12CD,UA12CDO,UA12NM,MD12CD,MD12CDO,MD12NM,LONB12CD,LONB12CDO,LONB12NM,WD12CD,WD12CDO,HLTH12CD,HLTH12CDO,HLTH12NM,REGD12CD,REGD12CDO,REGD12NM,GOR11CD,GOR11CDO,GOR11NM,NPARK12CD,NPARK12CDO,NPARK12NM,BUA11CD,PCON12CD,PCON12CDO,PCON12NM,EER12CD,EER12CDO,EER12NM,GRIDGB1,GRIDGB1E,GRIDGB1N,GRID1KM,PAR12CD,PAR12CDO
Offington),7719,WD,E10000032,45,West Sussex,E07000229,45UH,Worthing,,,,,,,,,,E05007703,45UHFY,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,E26000010,16,South Downs National Park,,E14000682,B54,East Worthing and Shoreham,E15000008,8,South East,514090106360,514090,106360,TQ1406,,
Salvington),8893,WD,E10000032,45,West Sussex,E07000229,45UH,Worthing,,,,,,,,,,E05007704,45UHFZ,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,E26000010,16,South Downs National Park,,E14001055,F31,Worthing West,E15000008,8,South East,511511106889,511511,106889,TQ1106,,
Meads),10725,WD,E10000011,21,East Sussex,E07000061,21UC,Eastbourne,,,,,,,,,,E05003923,21UCFP,E18000008,Q37,South East Coast,E28000124,462,East Sussex,E12000008,J,South East,,,,,E14000684,B56,Eastbourne,E15000008,8,South East,560443097847,560443,97847,TV6097,,
Old Town),11053,WD,E10000011,21,East Sussex,E07000061,21UC,Eastbourne,,,,,,,,,,E05003924,21UCFQ,E18000008,Q37,South East Coast,E28000124,462,East Sussex,E12000008,J,South East,,,,,E14000684,B56,Eastbourne,E15000008,8,South East,559198099820,559198,99820,TV5999,,
Ratton),9694,WD,E10000011,21,East Sussex,E07000061,21UC,Eastbourne,,,,,,,,,,E05003925,21UCFR,E18000008,Q37,South East Coast,E28000124,462,East Sussex,E12000008,J,South East,E26000010,16,South Downs National Park,,E14000684,B56,Eastbourne,E15000008,8,South East,557965101477,557965,101477,TQ5701,,
Steyning),6269,WD,E10000032,45,West Sussex,E07000227,45UF,Horsham,,,,,,,,,,E05007666,45UFGZ,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,E26000010,16,South Downs National Park,,E14000534,A05,Arundel and South Downs,E15000008,8,South East,516191110655,516191,110655,TQ1675,,
Pulborough and Coldwatham),6147,WD,E10000032,45,West Sussex,E07000227,45UF,Horsham,,,,,,,,,,E05007660,45UFGS,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,,,,,E14000534,A05,Arundel and South Downs,E15000008,8,South East,504840119700,504840,119700,TQ0419,,
Chanctonbury),7938,WD,E10000032,45,West Sussex,E07000227,45UF,Horsham,,,,,,,,,,E05007649,45UFGF,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,E26000010,16,South Downs National Park,,E14000534,A05,Arundel and South Downs,E15000008,8,South East,515081112135,515081,112135,TQ1512,,
Chantry),9643,WD,E10000032,45,West Sussex,E07000227,45UF,Horsham,,,,,,,,,,E05007650,45UFGG,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,E26000010,16,South Downs National Park,,E14000534,A05,Arundel and South Downs,E15000008,8,South East,505213113533,505213,113533,TQ0513,,
"Bramber, Upper Beeding and Woodmancote)",5314,WD,E10000032,45,West Sussex,E07000227,45UF,Horsham,,,,,,,,,,E05007647,45UFGD,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,E26000010,16,South Downs National Park,,E14000534,A05,Arundel and South Downs,E15000008,8,South East,521900111710,521900,111710,TQ2111,,
Pulborough),5206,PAR,E10000032,45,West Sussex,E07000227,45UF,Horsham,,,,,,,,,,,,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,E26000010,16,South Downs National Park,,E14000534,A05,Arundel and South Downs,E15000008,8,South East,504287121598,504287,121598,TQ0421,E04009962,45UF016
Storrington and Sullington),6966,PAR,E10000032,45,West Sussex,E07000227,45UF,Horsham,,,,,,,,,,,,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,E26000010,16,South Downs National Park,,E14000534,A05,Arundel and South Downs,E15000008,8,South East,508542112832,508542,112832,TQ0812,E04009978,45UF034
West Chiltington),3377,PAR,E10000032,45,West Sussex,E07000227,45UF,Horsham,,,,,,,,,,,,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,E26000010,16,South Downs National Park,,E14000534,A05,Arundel and South Downs,E15000008,8,South East,507850116709,507850,116709,TQ0716,E04009974,45UF030
Washington),1867,PAR,E10000032,45,West Sussex,E07000227,45UF,Horsham,,,,,,,,,,,,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,,,,,E14000534,A05,Arundel and South Downs,E15000008,8,South East,512612114058,512612,114058,TQ1214,E04009973,45UF029
Petworth),4742,WD,E10000032,45,West Sussex,E07000225,45UD,Chichester,,,,,,,,,,E05007619,45UDHF,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,,,,,E14000534,A05,Arundel and South Downs,E15000008,8,South East,499182126965,499182,126965,SU9926,,
Plaistow),4784,WD,E10000032,45,West Sussex,E07000225,45UD,Chichester,,,,,,,,,,E05007620,45UDHG,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,E26000010,16,South Downs National Park,,E14000633,B05,Chichester,E15000008,8,South East,494280129220,494280,129220,SU9429,,
Wisborough Green),2477,WD,E10000032,45,West Sussex,E07000225,45UD,Chichester,,,,,,,,,,E05007630,45UDHS,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,E26000010,16,South Downs National Park,,E14000534,A05,Arundel and South Downs,E15000008,8,South East,502509123965,502509,123965,TQ0223,,
Funtington),2671,WD,E10000032,45,West Sussex,E07000225,45UD,Chichester,,,,,,,,,,E05007614,45UDHA,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,,,,,E14000633,B05,Chichester,E15000008,8,South East,482931106780,482931,106780,SU8206,,
Lavant),2365,WD,E10000032,45,West Sussex,E07000225,45UD,Chichester,,,,,,,,,,E05007616,45UDHC,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,E26000010,16,South Downs National Park,,E14000633,B05,Chichester,E15000008,8,South East,486110108900,486110,108900,SU8608,,
Westbourne),2309,WD,E10000032,45,West Sussex,E07000225,45UD,Chichester,,,,,,,,,,E05007629,45UDHR,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,,,,,E14000633,B05,Chichester,E15000008,8,South East,477465107588,477465,107588,SU7707,,
Boxgrove),2235,WD,E10000032,45,West Sussex,E07000225,45UD,Chichester,,,,,,,,,,E05007603,45UDGN,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,E26000010,16,South Downs National Park,,E14000633,B05,Chichester,E15000008,8,South East,488513112727,488513,112727,SU8812,,
Stoughton),659,PAR,E10000032,45,West Sussex,E07000225,45UD,Chichester,,,,,,,,,,,,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,,,,,E14000633,B05,Chichester,E15000008,8,South East,478433108743,478433,108743,SU7808,E04009931,45UD053
Westbourne),2309,PAR,E10000032,45,West Sussex,E07000225,45UD,Chichester,,,,,,,,,,,,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,E26000010,16,South Downs National Park,,E14000633,B05,Chichester,E15000008,8,South East,476800108844,476800,108844,SU7608,E04009937,45UD060
Funtington),1549,PAR,E10000032,45,West Sussex,E07000225,45UD,Chichester,,,,,,,,,,,,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,E26000010,16,South Downs National Park,,E14000633,B05,Chichester,E15000008,8,South East,481360108270,481360,108270,SU8108,E04009904,45UD026
Lavant),1656,PAR,E10000032,45,West Sussex,E07000225,45UD,Chichester,,,,,,,,,,,,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,,,,,E14000633,B05,Chichester,E15000008,8,South East,484626107350,484626,107350,SU8407,E04009910,45UD032
Westhampnett),709,PAR,E10000032,45,West Sussex,E07000225,45UD,Chichester,,,,,,,,,,,,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,E26000010,16,South Downs National Park,,E14000633,B05,Chichester,E15000008,8,South East,488290108230,488290,108230,SU8808,E04009939,45UD062
Boxgrove),957,PAR,E10000032,45,West Sussex,E07000225,45UD,Chichester,,,,,,,,,,,,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,,,,,E14000633,B05,Chichester,E15000008,8,South East,491374107540,491374,107540,SU9107,E04009886,45UD007
Eartham),111,PAR,E10000032,45,West Sussex,E07000225,45UD,Chichester,,,,,,,,,,,,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,,,,,E14000633,B05,Chichester,E15000008,8,South East,492999108151,492999,108151,SU9208,E04009895,45UD016
Wisborough Green),1414,PAR,E10000032,45,West Sussex,E07000225,45UD,Chichester,,,,,,,,,,,,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,E26000010,16,South Downs National Park,,E14000534,A05,Arundel and South Downs,E15000008,8,South East,502865122070,502865,122070,TQ0222,E04009944,45UD067
Kirdford),1063,PAR,E10000032,45,West Sussex,E07000225,45UD,Chichester,,,,,,,,,,,,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,E26000010,16,South Downs National Park,,E14000534,A05,Arundel and South Downs,E15000008,8,South East,502128123963,502128,123963,TQ0223,E04009909,45UD031
Petworth),3027,PAR,E10000032,45,West Sussex,E07000225,45UD,Chichester,,,,,,,,,,,,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,,,,,E14000534,A05,Arundel and South Downs,E15000008,8,South East,499844125119,499844,125119,SU9925,E04009922,45UD044
Ebernoe),213,PAR,E10000032,45,West Sussex,E07000225,45UD,Chichester,,,,,,,,,,,,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,,,,,E14000534,A05,Arundel and South Downs,E15000008,8,South East,498749128444,498749,128444,SU9828,E04009900,45UD021
Plaistow),1898,PAR,E10000032,45,West Sussex,E07000225,45UD,Chichester,,,,,,,,,,,,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,E26000010,16,South Downs National Park,,E14000633,B05,Chichester,E15000008,8,South East,496577131133,496577,131133,SU9631,E04009923,45UD045
Northchapel),797,PAR,E10000032,45,West Sussex,E07000225,45UD,Chichester,,,,,,,,,,,,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,,,,,E14000633,B05,Chichester,E15000008,8,South East,498649129507,498649,129507,SU9827,E04009919,45UD041
Lurgashall),609,PAR,E10000032,45,West Sussex,E07000225,45UD,Chichester,,,,,,,,,,,,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,,,,,E14000633,B05,Chichester,E15000008,8,South East,491339131180,491339,131180,SU9131,E04009915,45UD037
Fernhurst),2942,PAR,E10000032,45,West Sussex,E07000225,45UD,Chichester,,,,,,,,,,,,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,,,,,E14000633,B05,Chichester,E15000008,8,South East,490306131718,490306,131718,SU9031,E04009901,45UD023
Linchmere),2392,PAR,E10000032,45,West Sussex,E07000225,45UD,Chichester,,,,,,,,,,,,E18000008,Q37,South East Coast,E28000211,785,West Sussex,E12000008,J,South East,,,,,E14000633,B05,Chichester,E15000008,8,South East,488448132313,488448,132313,SU8832,E04009912,45UD034
Whitehill Walldown),2332,WD,E10000014,24,Hampshire,E07000085,24UC,East Hampshire,,,,,,,,,,E05004496,24UCHZ,E18000009,Q38,South Central,E28000138,504,Hampshire,E12000008,J,South East,,,,,E14000680,B52,East Hampshire,E15000008,8,South East,480120134235,480120,134235,SU8034,,
Bramshott and Liphook),8491,WD,E10000014,24,Hampshire,E07000085,24UC,East Hampshire,,,,,,,,,,E05004466,24UCGR,E18000009,Q38,South Central,E28000138,504,Hampshire,E12000008,J,South East,E26000010,16,South Downs National Park,,E14000680,B52,East Hampshire,E15000008,8,South East,481184132666,481184,132666,SU8132,,
Whitehill Hogmoor),2336,WD,E10000014,24,Hampshire,E07000085,24UC,East Hampshire,,,,,,,,,,E05004494,24UCHX,E18000009,Q38,South Central,E28000138,504,Hampshire,E12000008,J,South East,E26000010,16,South Downs National Park,,E14000680,B52,East Hampshire,E15000008,8,South East,478745133270,478745,133270,SU7833,,
Binsted and Bentley),2983,WD,E10000014,24,Hampshire,E07000085,24UC,East Hampshire,,,,,,,,,,E05004465,24UCGQ,E18000009,Q38,South Central,E28000138,504,Hampshire,E12000008,J,South East,,,,,E14000680,B52,East Hampshire,E15000008,8,South East,478625144205,478625,144205,SU7844,,
Selborne),2249,WD,E10000014,24,Hampshire,E07000085,24UC,East Hampshire,,,,,,,,,,E05004490,24UCHS,E18000009,Q38,South Central,E28000138,504,Hampshire,E12000008,J,South East,E26000010,16,South Downs National Park,,E14000680,B52,East Hampshire,E15000008,8,South East,475250133842,475250,133842,SU7533,,
Alton Ashdell),2448,WD,E10000014,24,Hampshire,E07000085,24UC,East Hampshire,,,,,,,,,,E05004460,24UCGK,E18000009,Q38,South Central,E28000138,504,Hampshire,E12000008,J,South East,E26000010,16,South Downs National Park,,E14000680,B52,East Hampshire,E15000008,8,South East,471993137696,471993,137696,SU7137,,
Downland),2448,WD,E10000014,24,Hampshire,E07000085,24UC,East Hampshire,,,,,,,,,,E05004468,24UCGT,E18000009,Q38,South Central,E28000138,504,Hampshire,E12000008,J,South East,E26000010,16,South Downs National Park,,E14000680,B52,East Hampshire,E15000008,8,South East,470317135971,470317,135971,SU7035,,
Ropley and Tisted),2202,WD,E10000014,24,Hampshire,E07000085,24UC,East Hampshire,,,,,,,,,,E05004488,24UCHQ,E18000009,Q38,South Central,E28000138,504,Hampshire,E12000008,J,South East,,,,,E14000680,B52,East Hampshire,E15000008,8,South East,465052132050,465052,132050,SU6532,,
Four Marks and Medstead),6019,WD,E10000014,24,Hampshire,E07000085,24UC,East Hampshire,,,,,,,,,,E05004470,24UCGW,E18000009,Q38,South Central,E28000138,504,Hampshire,E12000008,J,South East,E26000010,16,South Downs National Park,,E14000680,B52,East Hampshire,E15000008,8,South East,468350133214,468350,133214,SU6833,,
Clanfield and Finchdean),4854,WD,E10000014,24,Hampshire,E07000085,24UC,East Hampshire,,,,,,,,,,E05004467,24UCGS,E18000009,Q38,South Central,E28000138,504,Hampshire,E12000008,J,South East,,,,,E14000811,C84,Meon Valley,E15000008,8,South East,470413116140,470413,116140,SU7016,,
Rowlands Castle),2530,WD,E10000014,24,Hampshire,E07000085,24UC,East Hampshire,,,,,,,,,,E05004489,24UCHR,E18000009,Q38,South Central,E28000138,504,Hampshire,E12000008,J,South East,E26000010,16,South Downs National Park,,E14000811,C84,Meon Valley,E15000008,8,South East,472222111841,472222,111841,SU7211,,
Horndean Catherington and Lovedean),2394,WD,E10000014,24,Hampshire,E07000085,24UC,East Hampshire,,,,,,,,,,E05004475,24UCHB,E18000009,Q38,South Central,E28000138,504,Hampshire,E12000008,J,South East,,,,,E14000811,C84,Meon Valley,E15000008,8,South East,467809112647,467809,112647,SU6712,,
Horndean Hazleton and Blendworth),2452,WD,E10000014,24,Hampshire,E07000085,24UC,East Hampshire,,,,,,,,,,E05004477,24UCHD,E18000009,Q38,South Central,E28000138,504,Hampshire,E12000008,J,South East,,,,,E14000811,C84,Meon Valley,E15000008,8,South East,470577112545,470577,112545,SU7012,,
